time,temp
2025-02-25T03:00:00.000+02:00,2.8
2025-02-25T04:00:00.000+02:00,3
2025-02-25T05:00:00.000+02:00,2.9
2025-02-25T06:00:00.000+02:00,2.6500000000000004
2025-02-25T07:00:00.000+02:00,2.7
2025-02-25T08:00:00.000+02:00,2.8
2025-02-25T09:00:00.000+02:00,2.9
2025-02-25T10:00:00.000+02:00,3
2025-02-25T11:00:00.000+02:00,
2025-02-25T12:00:00.000+02:00,2.9
2025-02-25T13:00:00.000+02:00,3.1
2025-02-25T14:00:00.000+02:00,
2025-02-25T15:00:00.000+02:00,
2025-02-25T16:00:00.000+02:00,3
2025-02-25T17:00:00.000+02:00,
2025-02-25T18:00:00.000+02:00,
2025-02-25T19:00:00.000+02:00,
2025-02-25T20:00:00.000+02:00,
2025-02-25T21:00:00.000+02:00,2.4
2025-02-25T22:00:00.000+02:00,
2025-02-25T23:00:00.000+02:00,
2025-02-26T00:00:00.000+02:00,1.6
2025-02-26T01:00:00.000+02:00,
2025-02-26T02:00:00.000+02:00,
2025-02-26T03:00:00.000+02:00,2.5
2025-02-26T04:00:00.000+02:00,
2025-02-26T05:00:00.000+02:00,2.4
2025-02-26T06:00:00.000+02:00,
2025-02-26T07:00:00.000+02:00,1.9
2025-02-26T08:00:00.000+02:00,
2025-02-26T09:00:00.000+02:00,
2025-02-26T10:00:00.000+02:00,2.6
2025-02-26T11:00:00.000+02:00,2.9
2025-02-26T12:00:00.000+02:00,3
2025-02-26T13:00:00.000+02:00,3.1
2025-02-26T14:00:00.000+02:00,3.3249999999999997
2025-02-26T15:00:00.000+02:00,3.5
2025-02-26T16:00:00.000+02:00,3.45
2025-02-26T17:00:00.000+02:00,3.1
2025-02-26T18:00:00.000+02:00,2.8
2025-02-26T19:00:00.000+02:00,2.7
2025-02-26T20:00:00.000+02:00,2.6
2025-02-26T21:00:00.000+02:00,2
2025-02-26T22:00:00.000+02:00,1.4
2025-02-26T23:00:00.000+02:00,1
2025-02-27T00:00:00.000+02:00,0.6
2025-02-27T01:00:00.000+02:00,0.3
